"FREQUENCY","TENSION","group","tensionLevel"
2.5,1,"Frequency x Waveform","Least"
5,4,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
2.5,3,"Frequency x Waveform","Least"
2.5,2,"Frequency x Waveform","Least"
1.25,2,"Frequency x Waveform","Least"
3.75,5,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
5,4,"Frequency x Waveform","Least"
5,1,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
3.75,7,"Frequency x Waveform","Least"
0,3,"Frequency x Waveform","Least"
2.5,2,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
5,3,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
3.75,2,"Frequency x Waveform","Least"
5,7,"Frequency x Waveform","Least"
2.5,2,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
1.25,2,"Frequency x Waveform","Least"
5,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
7.5,1,"Frequency x Waveform","Least"
5,3,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
5,3,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
0,4,"Frequency x Waveform","Least"
6.25,3,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
0,4,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
0,3,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
0,2,"Frequency x Waveform","Least"
2.5,3,"Frequency x Waveform","Least"
2.5,3,"Frequency x Waveform","Least"
5,1,"Frequency x Waveform","Least"
2.5,2,"Frequency x Attack","Least"
5,1,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
6.25,3,"Frequency x Attack","Least"
3.75,1,"Frequency x Attack","Least"
0,4,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
3.75,3,"Frequency x Attack","Least"
8.75,2,"Frequency x Attack","Least"
3.75,2,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
5,5,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
3.75,2,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
3.75,1,"Frequency x Attack","Least"
2.5,2,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
2.5,3,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
3.75,3,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
5,2,"Frequency x Attack","Least"
3.75,5,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
3.75,2,"Frequency x Attack","Least"
2.5,4,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
5,2,"Frequency x Attack","Least"
5,1,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
5,2,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
2.5,2,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
5,3,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
0,5,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
3.75,1,"Frequency x Attack","Least"
5,1,"Frequency x Attack","Least"
5,4,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
1.25,3,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
2.5,4,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
5,2,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
3.75,4,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
5,1,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
3.75,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
3.75,2,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
8.75,10,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
5,2,"Frequency x Release","Least"
5,3,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
7.5,3,"Frequency x Release","Least"
2.5,3,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
2.5,3,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
0,4,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
5,3,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
0,5,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
5,2,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
5,3,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
5,3,"Frequency x Amplitude","Least"
5,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
2.5,4,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
0,2,"Frequency x Amplitude","Least"
1.25,3,"Frequency x Amplitude","Least"
5,2,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
3.75,4,"Frequency x Amplitude","Least"
1.25,2,"Frequency x Amplitude","Least"
1.25,2,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
3.75,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
5,4,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
5,3,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
10,10,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
3.75,1,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
6.25,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
1.25,2,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
0,3,"Frequency x Amplitude","Least"
6.25,4,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
0,3,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
0,2,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
3.75,1,"Frequency x Amplitude","Least"
6.25,2,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
3.75,3,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
